GexfID,Title,IMDB_id,ReleaseDate,Slug,WeightedDegree,Modularity,PathLength,Diameter,ClusteringCoefficient,ConnectedComponents,Density,Edges,Characters,rating
767,Star Trek,tt0060028,1966,Star-Trek,9.013,0.435,2.725,6,0.551,13,0.067,407,70,8.4
768,Star Trek II: The Wrath of Khan,tt0084726,1982,Star-Trek-II:-The-Wrath-of-Khan,22.963,0.182,1.793,3,0.709,3,0.305,444,24,7.7
769,Star Trek: First Contact,tt0117731,1996,Star-Trek:-First-Contact,10.545,0.289,2.216,4,0.546,4,0.15,227,32,7.6
770,Star Trek: Generations,tt0111280,1994,Star-Trek:-Generations,12.14,0.451,2.123,4,0.707,3,0.179,290,37,6.6
771,Star Trek: Insurrection,tt0120844,1998,Star-Trek:-Insurrection,19.619,0.151,1.886,4,0.724,1,0.357,305,21,6.4
772,Star Trek: The Motion Picture,tt0079945,1979,Star-Trek:-The-Motion-Picture,18.867,0.232,1.799,3,0.717,2,0.241,388,29,6.4
774,Star Wars: Episode II - Attack of the Clones,tt0121765,2002,Star-Wars:-Episode-II---Attack-of-the-Clones,9.872,0.367,2.082,3,0.751,1,0.137,281,47,6.7
775,Star Wars: Episode VI - Return of the Jedi,tt0086190,1983,Star-Wars:-Episode-VI---Return-of-the-Jedi,8.541,0.375,2.229,4,0.486,5,0.128,205,37,8.4
777,Star Wars: Episode V - The Empire Strikes Back,tt0080684,1980,Star-Wars:-Episode-V---The-Empire-Strikes-Back,8.359,0.391,2.703,6,0.533,2,0.112,225,39,8.8
779,Starman,tt0088172,1984,Starman,7.625,0.504,2.345,4,0.664,5,0.095,199,41,7
780,Starship Troopers,tt0120201,1997,Starship-Troopers,14.808,0.262,1.949,4,0.727,4,0.141,490,49,7.2
781,State and Main,tt0120202,2000,State-and-Main,15.591,0.23,1.85,3,0.755,3,0.22,432,44,6.8
782,Station West,tt0040835,1948,Station-West,13.533,0.248,1.816,3,0.742,1,0.232,234,30,6.7
783,Stepmom,tt0120686,1998,Stepmom,10.87,0.33,2.095,3,0.752,1,0.178,173,21,6.7
784,The Sting,tt0070735,1973,The-Sting,9.488,0.3,2.242,5,0.639,4,0.133,249,43,8.3
785,Stir of Echoes,tt0164181,1999,Stir-of-Echoes,10.242,0.298,1.865,3,0.791,2,0.22,167,23,7
786,Storytelling,tt0250081,2001,Storytelling,8,0.5,1.936,4,0.582,2,0.175,158,32,6.9
787,Strange Days,tt0114558,1995,Strange-Days,7.95,0.412,2.082,4,0.76,2,0.135,180,35,7.2
788,Strangers on a Train,tt0044079,1951,Strangers-on-a-Train,10.115,0.395,2.014,5,0.808,2,0.16,243,47,8
790,Sugar,tt0990413,2008,Sugar,7.527,0.398,2.018,4,0.575,10,0.088,244,55,7.2
791,Sugar & Spice,tt0186589,2001,Sugar-&-Spice,9.787,0.362,2.104,4,0.702,4,0.121,297,46,7.2
